pwm,fl,fr,rl,rr
1000,-2,0,0,-3
1500,0,-1,0,0
2000,0,0,0,-1
2500,0,0,0,1
3000,2,0,0,0
3500,0,1,1,0
4000,2,5,0,8
4500,2,0,1,0
5000,93,1,81,0
5500,162,13,0,0
6000,228,243,92,182
6500,290,320,237,280
7000,350,364,304,328
7500,416,429,371,370
8000,460,496,417,439
8500,541,548,470,499
9000,592,615,554,542
9500,656,678,611,620
10000,737,738,661,678
10500,801,808,733,742
11000,850,867,792,786
11500,938,934,837,863
12000,998,972,905,921
12500,1064,1046,967,982
13000,1117,1124,1008,1037
13500,1177,1162,1079,1092
14000,1240,1226,1137,1160
14500,1300,1286,1193,1214
15000,1365,1353,1252,1274
15500,1397,1404,1300,1312
16000,1468,1468,1343,1379
